"author","count_publications","nova_author"
"Kozłowski,M",1,"no"
"Kracke,N",1,"no"
"Kringos,D",2,"no"
"Kronenberg,C",1,"no"
"Krumhuber,EG",1,"no"
"Krusell,P",1,"no"
"Kumar,N",1,"no"
"Kupor,DM",1,"no"
"Kurtuluş,M",1,"no"
"Kwiatkowski,L",1,"no"
"Lacerda,A",1,"no"
"Lafuente,E",2,"no"
"Lages,C",3,"yes"
"Lages,LF",16,"yes"
"Lamelas,JP",1,"no"
"Lampreia,J",1,"no"
"Lancione,M",1,"no"
"Lapão,LV",1,"no"
"Lapolli,EM",1,"no"
"Lapolli,J",1,"no"
"Laubichler,MD",1,"no"
"Laureano,L",1,"no"
"Laux,P",1,"no"
"Lazarević,D",1,"no"
"Lazarević,LB",1,"no"
"Lê,JK",2,"no"
"Leal,S",4,"no"
"LebredeFreitas,M",2,"yes"
"Leca,B",1,"no"
"Lechene,V",1,"no"
"Lee,J",1,"no"
"Leeffers,S",1,"no"
"Lehman,D",1,"no"
"Lehman,DW",1,"no"
"Lehtonen,L",3,"no"
"Leitão,AEB",1,"no"
"Leite,AP",1,"no"
"Lemoine,JE",1,"no"
"Lengler,J",1,"no"
"Lewis,V",1,"no"
"Li,J",1,"no"
"Li,T",1,"no"
"Li,X",1,"no"
"Liberal,Â",2,"no"
"Lillebø,AI",1,"no"
"Lima,D",1,"no"
"Lindenberg,S",1,"no"
"Lindsay,G",1,"no"
"Ling,DC",1,"no"
"Lionis,C",2,"no"
"Lisboa,A",1,"no"
"Lisovskaya,A",1,"no"
"Lisowskaia,A",1,"no"
"Liu,J",1,"no"
"Liu,W",1,"no"
"Liu,Y",1,"no"
"Lobo,ML",1,"no"
"Lombardi,S",1,"no"
"Lopes,AF",1,"yes"
"Lopes,AM",4,"no"
"Lopes,FV",1,"no"
"Lopes,IT",6,"no"
"Lopes,JM",1,"no"
"Lopes,MP",3,"yes"
"Lopes,S",4,"yes"
"Lopes,SR",1,"yes"
"López,A",2,"yes"
"Lourenço,N",3,"no"
"LourençodeMoraes,R",1,"no"
"LourençoGil,R",2,"no"
"Luiz,JM",1,"no"
"Luque,J",2,"no"
"Luthans,F",2,"no"
"Macchiavelli,M",1,"no"
"Macdonald,JL",4,"yes"
"Macedo,JBD",1,"no"
"Mach,M",3,"no"
